"","comparison","diff","lwr.ci","upr.ci","pval","pval.adj"
"30 J/m² 222nm Suprabasal","30 J/m²-Control",3.147754087,-5.18663699228915,11.4821451662892,0.742201414651508,0.809674270528917
"300 J/m² 222nm Suprabasal","300 J/m²-Control",5.8278039295,-2.50658714978915,14.1621950087892,0.24244436836322,0.323259157817627
"1000 J/m² 222nm Suprabasal","1000 J/m²-Control",9.6419237585,1.30753267921085,17.9763148377892,0.0186921165437344,0.0448610797049625
"2000 J/m² 222nm Suprabasal","2000 J/m²-Control",8.5110617799,0.176670700610849,16.8454528591892,0.043961289951008,0.087922579902016
"30 J/m² 254nm Basal","30 J/m²-Control",0.62703,-2.53732433108786,3.79138433108786,0.963685278761348,0.963685278761348
"300 J/m² 254nm Basal","300 J/m²-Control",1.5531140625,-1.61124026858786,4.71746839358786,0.543868385080125,0.65264206209615
"1000 J/m² 254nm Basal","1000 J/m²-Control",2.5794456442,-0.584908686887861,5.74379997528786,0.138881019094971,0.208321528642457
"2000 J/m² 254nm Basal","2000 J/m²-Control",3.9901748784,0.825820547312139,7.15452920948786,0.00911040402293262,0.0273312120687978
"30 J/m² 254nm Suprabasal","30 J/m²-Control",9.8581615937,-1.20898958545435,20.9253127728543,0.0932733142938168,0.159897110217972
"300 J/m² 254nm Suprabasal","300 J/m²-Control",16.3129470589,5.24579587974566,27.3800982380543,0.00189650736339286,0.00758602945357145
"1000 J/m² 254nm Suprabasal","1000 J/m²-Control",21.3432149802,10.2760638010457,32.4103661593543,4.37030254905046e-05,0.000290050291807287
"2000 J/m² 254nm Suprabasal","2000 J/m²-Control",21.677395835,10.6102446558457,32.7445470141543,4.83417153012144e-05,0.000290050291807287
